"","assignmentid","workerid","amount"
"62","3UWN2HHPUY6AIGHLF6D6XHO5NP7NSP","A1M3HU7RRX0BXZ",0.5
"63","3TVSS0C0E111KA3EW79J35XIIJSWTF","A1MF5X99676P61",0.5
"64","3P59JYT76LLF8U57INKCFYHTERU2TU","A1NOR6E0WT0Y14",0.5
"65","30LSNF239UWPZGPWOBL81RFK318I25","A1OIIHLOC90XCH",0.5
"66","3JAOYWH7VI52P1I1UNX03UFQQ6C9LS","A1PLYU7HZ97RF0",0.5
"67","37UQDCYH6XW17N62TU1MC7MMMD47V9","A1QGY6CAFFHR6G",0.5
"68","3WOKGM4L71HSZSXL7JUZ20IRILNO04","A1S7WGRS6BVBGW",0.5
"69","3ZDAD0O1T1EG9A846C555OBPR0IXTN","A1SOFLJOEQB591",0.5
"70","3ZAZR5XV01JOSO68L8Y0DZRWB4RCZ7","A1U2IZQZ7A0ZGF",0.5
"71","3IHR8NYAM72RJGRN5KUG33DU942P49","A1VFSNVFK883XU",0.5
"72","3ZAK8W07I4FNCXHI356816AG0SP0UD","A1YIE68LKBFUSD",0.5
"73","3SBEHTYCWN4F01I3HWS3AVGPIB5YIU","A1ZDUYOAXER5TG",0.5
"74","3B837J3LDOXVXE9D8DUN61TFOLZSRJ","A20KLNCJK6M7DV",0.5
"75","3QY5DC2MXRLE91W86NPT4DXK6U9UF6","A20LKUNLGTTANZ",0.5
"76","3ZAZR5XV01JOSO68L8Y0DZRWB36CZK","A20YGFCRNDTD6",0.5
"77","36PW28KO4ZX2OEIE57OWMU0QN7KAE8","A217E1EMJSYBON",0.5
"78","3LJ7UR74RHERGVFAP5HOZE8Z99AN4O","A2193PG40L6Z9J",0.5
"79","3NXNZ5RS1AY3AGTZQTWQKPXPV1K79O","A21A92MXRINRXZ",0.5
"80","3KIBXJ1WD5VUCI4PBC4HLKX0WC7OKA","A23DW66FV2QTFT",0.5
"81","39KFRKBFINWPWNT6FR58USCBUJIOYR","A23RQHNROJGWR4",0.5
"82","3IXQG4FA2TZQCSWP3A86PRJLEKW9BJ","A24EAYGSHOXEGP",0.5
"83","3LO69W1SU3EH4B598T3AVB1DUW7LGL","A27K3UK3TETLIC",0.5
"84","3NQL1CS15R9KM723G3RMPK6JQR2VYH","A27W2DOJPQUHU0",0.5
"85","3IKZ72A5B4H1EBCZ9MD7QI5QY9TNF6","A288RSAGJBLY9",0.5
"86","3DYGAII7PL9Y8LEL3H1T66EZ5HDPQQ","A28Y4CEFC3NK1V",0.5
"87","33C7UALJVLZPLPVNWL93JJB18TN81S","A2CQLJ3OT0MIHB",0.5
"88","3VBEN272MK048O0ZS20B7XF8MCOGSB","A2CWADQFILGY80",0.5
"89","34S6N1K2ZVKV470KSZLSGBDE9I7LHF","A2EOU1K1M51LSV",0.5
"90","3VHHR074H3IYBIU8FQZGPYOKVF27LQ","A2F0A4FIVT9M3O",0.5
"91","3VAR3R6G1P2AHH2O2N7EVFO915LO8L","A2IM2TWRHHBTOO",0.5
"92","3DL65MZB8DGQHTFCPLKNSPQEN9CCEH","A2IVLRO164XH51",0.5
"93","3QBD8R3Z21K9YGFMQKH1E384ZZ34O4","A2NTLZYJRFAMFR",0.5
"94","354P56DE9K4LFVPYZZWH1K2FN9A7S4","A2ORC04Z3SEX0R",0.5
"95","33SA9F9TRXVZVRLH6CKO4JXHF95EW7","A2P53AN2M8IWFP",0.5
"96","351SEKWQS0IYY9D36F3HP3D5HVQMDV","A2RHE12CJSKCRE",0.5
"97","3G0WWMR1UVLY5028N2O12H9451OQN5","A2SJXW30OWHZG",0.5
"98","3OWEPKL089DOZIXTR3FV2QS90KL7NV","A2SULQE4M8C3CM",0.5
"99","3Y4W8Q93LZLHOW7CK748CZWI8VZDVE","A2TCOV49RNTECD",0.5
"100","3E7TUJ2EGCNJRPU9H6ZCKH7LH7FD95","A2TGHPIJ98QSKJ",0.5
"101","3N2BF7Y2VQVFAPI5SBM7GOS392CHMM","A2W3TKXTKKL423",0.5
"102","3WMOAN2SRBYQA8YP91IB848CM8YVNT","A2W5PAZJG6X8Q8",0.5
"103","3Y4W8Q93LZLHOW7CK748CZWI8YLDV6","A2WI6JEIE34X71",0.5
"104","39U1BHVTDLS4TC1QMNYHY8MLKSZ3TL","A2WNCIZ47VXDIC",0.5
"105","34S9DKFK73Q7E2TUEC5VF3C64GZNYB","A2WYCY1FMQOD5F",0.5
"106","39KFRKBFINWPWNT6FR58USCBU1CYOV","A2XKJMLCU7TRJ1",0.5
"107","3HQUKB7LNFFTIBHU1E6UOJK7S1KHHQ","A2ZK5I1MDWNPRU",0.5
"108","382M9COHEHGM3NWCBC5NMVCKUUXEUD","A2ZNA9H0D65KQG",0.5
"109","3A9AA95ATWN9FZVNJPDQ8VJ89J3P5M","A304UJAE051J89",0.5
"110","39KFRKBFINWPWNT6FR58USCBUKNOYY","A31IOAEFF0W6ZJ",0.5
"111","3AWETUDC92TF5RS8DIUMO2PROLLIZD","A323ACW5NHXVLV",0.5
"112","3IHR8NYAM72RJGRN5KUG33DU9NA4PY","A33UW3XW0LM27W",0.5
"113","39N5ACM9HEOSGMXZMFQ7KBOAVRD9PC","A34CPKFZXBX1PO",0.5
"114","3TESA3PJ31B123JGJ82K8T0ZQ9IMMD","A34T4R7G25LDJM",0.5
"115","3JJVG1YBEBY7B5UD0KVPDBEJSG8B59","A377NX01UOD3Z8",0.5
"116","3D8YOU6S9ELIQ83X5UMPA7K7DV6U63","A37GHED5LW6M3Z",0.5
"117","3WMINLGALB4NRGY09GI1W60N2IOCA8","A37PBPPHVITVUS",0.5
"118","3L70J4KAZGNXW84E9CDCGCI5NUXDAU","A37RYVOK1ALL2K",0.5
"119","3NC5L260MONJWWCBA1DK575VOJIOF6","A39MWYZ1G00OMW",0.5
"120","3M0NZ3JDP1Z3T3XT6YBSZTLMJKO5Z5","A3BAM0EC32551E",0.5
"121","34S6N1K2ZVKV470KSZLSGBDE9TLHLB","A3BGKGVF6BUOUN",0.5
"122","3Z7EFSHGN9FZNT6TKQAFGEBL3GGXC6","A3CJC1B9YODT4B",0.5
"123","3OWEPKL089DOZIXTR3FV2QS90HD7NH","A3CX0LXFHZ6I3I",0.5
"124","3OB0CAO74HQF467JBEAIAJFAIX0YH9","A3F6PUD0ZYMNL1",0.5
"125","3ZDAD0O1T1EG9A846C555OBPRNZXTE","A3FY6THWKRYN9M",0.5
"126","3EA3QWIZ4IWJJFJ97Q542EOA38BTIM","A3GO2JCV966XGE",0.5
"127","3JRJSWSMQHM24TJTWS9MZMMKHHA3ER","A3HF4FOT5XOZKU",0.5
"128","38F5OAUN5NDWPMBIO5KIX6VDEZVH7X","A3KD6OOML0Y916",0.5
"129","3WRFBPLXRAP6YZW6PRC5P9GTV9JN38","A3LTFYL8W6PN7L",0.5
"130","3HWRJOOET536OA48M7AN7UUW9B6SEX","A3MELYYGRJ61SX",0.5
"131","3EQHHY4HQST32M2OG6N3EM5G82T5GV","A3MVLQFGQNZZC4",0.5
"132","3COPXFW7XBDCXIGQQCHWAK2Q6ACPKN","A3O80QISD9M40L",0.5
"133","3U4J9857OECMY98WODAMBVSFJZUB75","A3PTZLBN6U5KKL",0.5
"134","308Q0PEVB8E0Z0AV9K0NBENY91V9IP","A3VBNWON5XOUVS",0.5
"135","3C2NJ6JBKAIHDH0NLRY06ZB1P4Y2N9","A3VI14PQFWGLI5",0.5
"136","3KIBXJ1WD5VUCI4PBC4HLKX0WKMOK5","A3VTQEQIPJY06V",0.5
"137","3DBQWDE4Y6Z9CEJA3A0Y46ED9LM5NO","A3VYBAO7UQQHGC",0.5
"138","3QBD8R3Z21K9YGFMQKH1E384ZWDO4S","A46X19X6KTN7S",0.5
"139","3OF2M9AATGP6BMIWDLFY1I44G9XKZH","A4ED0EOOFHZTR",0.5
"140","31QTRG6Q2TE7HN57URINJSH14WVYPF","A56WOOPGH33JS",0.5
"141","3QBD8R3Z21K9YGFMQKH1E384ZIGO43","A7ERZELTAMWL5",0.5
"142","33NF62TLXJ3GB7DSVZCCDOGEXJXJKO","A7VQJN8H4QMI6",0.5
"143","38F71OA9GTXVWTRZXLY7D3GQTJXMFJ","A8CO7FH037DOO",0.5
"144","333U7HK6I9G8X17I3IQP9BLODFUJDF","A8Q0AO83PMO8J",0.5
"145","3RXCAC0YIRQMP4LQE4U6Q6F7AU88GI","A9TGK24RHVMJ0",0.5
"146","31T4R4OBOSH58E022D6HMFYX1LJ7CZ","ABTG5AJMQZKA5",0.5
"147","3300DTYQT2IUBUPVU3LICUFVR9OQEH","AC3SJ09ODQZJX",0.5
"148","3MH9DQ757WDKN1S3H7VBMYXW7IBGUB","AESIFZEIVG1W5",0.5
"149","3X73LLYYQ1FLS7354C17T3H3EMNNHH","AF6NYK9VC3E5U",0.5
"150","3I7DHKZYGN1XOM6T5MHLW1547DI5F1","AG7C4X3WKKBV",0.5
"151","3IAEQB9FMELU3L7HAH94Y1FWF80WDE","AGQY4CF780ZDC",0.5
"152","3ERET4BTVMAR5V0J9NLZOU2B1EY9KW","AI2KKF5L9GJJZ",0.5
"153","3SNLUL3WO4O09T64SYSRZQ2434YUL6","AJRWCGIH6WOVG",0.5
"154","3YW4XOSQKQMNJM20ZOA8FBTQ5KZ1UL","AKNU5D6QK7M72",0.5
"155","3BF51CHDTVBI7BBY36Z9IRLQ6KJH0P","ALYR5CI2SM2JC",0.5
"156","3EFE17QCRC6I8KVAC8ITSXR91DXHS9","AM5KAQSELU4FK",0.5
"157","3IFS6Q0HJIKI4F6UIQ0ES9SO14XSIQ","AP3TMAKHW9G4P",0.5
"158","3LKC68YZ3A4L7IY60QNK9VRVJOQWOY","APYR24Z4XEFDB",0.5
"159","3PIWWX1FJJ7L0N7ADEC0C9G1IMVJJ7","AQGFIF4GOVTQX",0.5
"160","3S3AMIZX3U6LPN1CTQ93M78TNXZCDC","AQZJKEN3MEWJR",0.5
"161","3R6BYFZZP7D6Q5Q3BS0GOKWO0QTFXE","AR29S906119QE",0.5
"162","3WT783CTPBISAQ3SFUIXRHKTKWDBCY","ARQR5NIFA1AJ",0.5
"163","3RJSC4XJ10V6RIR324Y0TUI01B1505","AS6BWSIIQJDYV",0.5
"164","3U5JL4WY5KAWSPTERB4XXGZXBMHX4D","AS98H99LN5LLU",0.5
"165","33TIN5LC04BMP0P0D2MQX2HMZPHY9I","ASC0LINUC02KF",0.5
"166","3P1L2B7AD1Q5WOM7WCGI0KAFL5ALOU","ASNMT3I94HZ44",0.5
"167","338JKRMM260E8O9GV8W27XX3FN7HAQ","ATPV5PU04HNNW",0.5
"168","3NVC2EB65Q00AY0KWTLG6PE0Z5X3YC","ATWQHQQ6JOS3D",0.5
"169","3HWRJOOET536OA48M7AN7UUW9D4ESL","AU6VM4MYD22LH",0.5
"170","38YMOXR4MU0VICS20U1QSV54YSK6WF","AV4P7N58PU55P",0.5
"171","3HMVI3QICJT40VM59P7XIWZ319TY11","AV6J56XKCIG7F",0.5
"172","31Q0U3WYDPGLLBQ4MGHX5JF6XAP71E","AVVDQOX4N7HCO",0.5
"173","3VE8AYVF8MYGB4PV3KOO8LFV94N8FC","AWUITC36IX6YX",0.5
"174","3ZSANO2JCF8YUO44HIUTPCFWLZRFSI","AXR1QGU4KTMSZ",0.5
"175","3SLE99ER0NE5IJE278252FLETU5BZZ","AY0GYFO0YOPNX",0.5
"176","3018Q3ZVOIRRXINJRD8WL1Z925TARM","A2PD9SHVWNX7Q2",0.5
"177","30IQTZXKAK7FT1BD8AHVLD9KUZO0X1","A1NZY7X64EW2S",0.5
"178","30X31N5D63R3YXNW6281BB45O3PSAX","A1TF3NF2EDSQPR",0.5
"179","30ZX6P7VF8WLUR926T68DSUKG5XJ2W","A3JT9LHWLFHNS8",0.5
"180","31IBVUNM9S0EMGL8BDZY0ZZ3KNXVFJ","A3MDU0KP6F46FP",0.5
"181","31N2WW6R9RRUA7JPR3TSH47KT33F35","A3QS96739O5M6F",0.5
"182","31Q0U3WYDPGLLBQ4MGHX5JF6XV9714","A2RYP5HCVKX4A6",0.5
"183","326O153BMIZ0MLLQPHFYCV8W8LFDEX","A1V3I0EG3DVY29",0.5
"184","32M8BPYGATNFEAX3NQ6X3V9LD1DGIK","A1H2UHJ78F185L",0.5
"185","32RIADZISS5OW87FX1YAY8I5WUQ4SX","A1D7IULWFI8PB1",0.5
"186","32Z9ZLUT1LL3AS3H5R1K8SH84EQHOO","A2MSOZOL2Z0QJV",0.5
"187","338JKRMM260E8O9GV8W27XX3FUKHAH","A1I3UQ6MCOD284",0.5
"188","33FOTY3KEMMRXSL0DXP8L57KYDNC13","A1Y2HID85GGCDN",0.5
"189","33OOO72IVHMS6CX9FG9IRBQFQPOCT8","A3OKOWU61RJTX4",0.5
"190","345LHZDEDXTJTPGFMSOR348N3XV3UJ","A34UFMGVNCFKVV",0.5
"191","34BBWHLWHACBBWN32VAFPYV97UGWIM","A101TTS7WAVXAV",0.5
"192","34QN5IT0TZSPE0A502535ESR3NE80U","A2M10QYY3BTJ0Q",0.5
"193","35USIKEBNRH5VIJO8TA3WCSD5LRN6Q","AWGYEB0Z48B4R",0.5
"194","35USIKEBNRH5VIJO8TA3WCSD5PZ6NP","A5EMCSS1EHD0X",0.5
"195","36DSNE9QZ5ZZ1YY7TR45K5XNH2GJO9","A2NHP55T9ZX86Q",0.5
"196","36DSNE9QZ5ZZ1YY7TR45K5XNH4LJOI","A39W3PYK82IBAS",0.5
"197","36NEMU28XFEX7FDUNA87HR2QOXDWM3","A3QDBNW2H8EMFW",0.5
"198","37UEWGM5HT9V3UAJVUF3A066YAOR1E","ASKUEWVYYCZWO",0.5
"199","38F71OA9GTXVWTRZXLY7D3GQT0OMF8","A1AF1XMICPJVZ1",0.5
"200","38F71OA9GTXVWTRZXLY7D3GQT2WFMD","AE63GABJL0FGJ",0.5
"201","38F71OA9GTXVWTRZXLY7D3GQTV6FM9","A3CLBF224TRYC9",0.5
"202","39LOEL67OS6LVS92JPNM7CQY60M38A","ANUA9X7BFPTR8",0.5
"203","39OWYR0EPKSVQAGDGOMI7Y3X241YFX","A2KBATQUTW8J5G",0.5
"204","3A4TN5196KJ2136EFMSTDSNRFVYCH3","A1MTRZDRKNB9GV",0.5
"205","3A7Y0R2P2OPMV7CZUIR13IOGT5VXJ0","A2KWADVDUGF4JG",0.5
"206","3AAJC4I4FGTB02CEV0FM034R15QZJW","AUB2Y2EREGBUZ",0.5
"207","3BWI6RSP7GAK5CKGY4CCC3Y0M9P7E9","A1Q07N0ONFDIT7",0.5
"208","3C5W7UE9CFRCWFIKXF4TJAGXXZKXMY","A34YD9P7KI4RF",0.5
"209","3C8HJ7UOP7V11AIZYXSEGVW85ZFZMU","A3NLSGHK6RFXA8",0.5
"210","3COPXFW7XBDCXIGQQCHWAK2Q6VCKPO","A2868HFLIU4V0C",0.5
"211","3CP1TO84PT2DNSUHHR2ECIBFY1S52G","A3CFL571SP03NK",0.5
"212","3CTOC39K37RSGS68C5N39JBSRMH7J0","A25FHFTKE1TYA5",0.5
"213","3DH6GAKTYYQ1VR7DH0GPAQJFEFHZYK","A2ADFW9L8WGV81",0.5
"214","3DQQ64TANGM3SIA7FQ0ZYVWLT80PWG","A2W7OLEX5MXRH8",0.5
"215","3DZQRBDBSLG3ECOBXNTRO3QZIT2S36","A76WEZ9QGREEM",0.5
"216","3ERMJ6L4DYTIH0CTF20VPB39VBK7M2","AG1ODW7KG7CEP",0.5
"217","3F0BG9B9MPOIBH17Y5O6J6QG4JU7YK","A3I07CQOHNF3ES",0.5
"218","3FDJT1UU749848Y76X8ICEX9FWF5KT","A3CMWYLWMENHLZ",0.5
"219","3G2UL9A02DFGSXR1SMTE0F6N5BD760","A1CE2XPYCDRHVZ",0.5
"220","3H8DHMCCW9C38LD0L3Q1AQL1SI6DKC","AV3LN2EMUI4LG",0.5
"221","3HMIGG0U4L7MBV6Q8AGCX6MBF598YL","A1KFK92GEFQ9F5",0.5
"222","3I2PTA7R3TVXXUH5QPWLAPS0BW3QK0","A30GCTXJ17JC3I",0.5
"223","3I7DHKZYGN1XOM6T5MHLW15470RF5U","A3ADQ2RLQNJQDU",0.5
"224","3IRIK4HM3ALM4EMXJ31PG1Y16HE6CS","A1WKWC9C5XIPKV",0.5
"225","3IX2EGZR7BK2YBQNLJL9E02SSVYRJ0","A24EYMUIGY8M5O",0.5
"226","3IX2EGZR7BK2YBQNLJL9E02SSZTJRV","A5M975UINIFLU",0.5
"227","3JJVG1YBEBY7B5UD0KVPDBEJSAXB5M","A1FBI9CPTNYMMR",0.5
"228","3JMSRU9HQIVMG2LCG2FSIHE38SWVER","A12CJ9VTOJL4IN",0.5
"229","3K2755HG5S4SSZLMKSZ4UDTWKMGFD3","A77K8W55MJEKX",0.5
"230","3KAKFY4PGU3EKYLFSBZDK1KC9XB3I4","A2TKHXY755FAM",0.5
"231","3KGTPGBS6XMU87KWISAMKU3VXCO2UM","A2XH7ZKO6GLD7Z",0.5
"232","3LUY3GC63Z1O23967ISN6FX40CGP7T","A33NE0YIJ8AVUG",0.5
"233","3M0NZ3JDP1Z3T3XT6YBSZTLMJ575ZU","A62RZY5BWOZZM",0.5
"234","3M68NM076H8QAGBG10RK5WXN6IQ6R7","A35JT9S4WJLLNE",0.5
"235","3M81GAB8A0KW4RDBKCJSBM9AO26QBS","AY5WYV3L02AXW",0.5
"236","3MTMREQS4VJW5E45Q7I2807QUM6AWR","A2OZ0B2U7MCLD1",0.5
"237","3MX2NQ3YC9VEO8XE5GN7285BB585XW","A25VM5OZB8R6TX",0.5
"238","3ND9UOO81K3D1XV9NY7SHEN1OWCLWN","A1TW2BZRRS874Z",0.5
"239","3O6CYIULED2GKNI3WCZT81JK1KUUW9","A2H2NYSFUUNAUB",0.5
"240","3OONKJ5DKCKTJF0V5ZROMHEA9X7BOG","A3PWHCBLUBWMRS",0.5
"241","3OS46CRSLF0I3NSXAKWU6TMQRPX6VW","A1BZC0YNP992F5",0.5
"242","3OSWBBLG1EY9SLC7KM5Q0KT3OVMXDU","A35ULE06JDNXIA",0.5
"243","3OUYGIZWR7ZAKS9MMJ7ER0NHS3M0PQ","A19Z68L0RHQVWL",0.5
"244","3OVHNO1VE62YXGCML4TBX59EWQUDZ7","A1IE18279Y0CU4",0.5
"245","3OXV7EAXLERYREQEQAQONYU705K63F","AUZQIVJPQ4DCJ",0.5
"246","3PWWM24LHSZWAADJFP9HO2L60LW286","A3ATU3VULAB7K2",0.5
"247","3QBD8R3Z21K9YGFMQKH1E384ZAB4OY","A2PZ6AY3UBL40R",0.5
"248","3QEMNNSB2X0FD66G291S6LGFMVED78","A19YRUF7K6FY78",0.5
"249","3QILPRALQ5WSZW2C1871GQO4BHLN8I","A165QRANNVPG0P",0.5
"250","3QXNC7EIPIWPS5TF5UBH5AN2NTP094","A3CZNWMYPM3P6E",0.5
"251","3QY7M81QH7NNRCCQUQNFAYB567O7KY","A1BFJF091QROT1",0.5
"252","3R08VXYT7CWEMC67J46IY950TEWW7I","A1POAW2RQBTBXB",0.5
"253","3R2PKQ87NW9F6KTPYT4SG0TI9MCIMF","A1ZTCXQ6JAT7E8",0.5
"254","3RANCT1ZVFIOWKKS1L3XLN6ZRTNUBO","A39KUEDR8ZS1CF",0.5
"255","3RGU30DZTA9B1VDVGBPSS18IM25JMY","A1CI5U3BLQ2DDS",0.5
"256","3RSDURM96AN3KWGHLD2CPGIXQ4ZYEU","AG430TVZD4313",0.5
"257","3RXCAC0YIRQMP4LQE4U6Q6F7A4W8GQ","A1VT581V4RDGVH",0.5
"258","3SKRO2GZ71S9GQXO5A669OKS3F7K1L","A21Y7K669KM1PR",0.5
"259","3T3IWE1XG6OW0D7SKYADBGFWU4SQTU","ARG392N6HWZCJ",0.5
"260","3TUI152ZZBOVRTVJIFQ35AW12MN1QK","A28L9WUCA4282C",0.5
"261","3V0Z7YWSIY1ULM9WNIKRGG5EBPS2VI","A2IJPWFSESVOAX",0.5
"262","3VHHR074H3IYBIU8FQZGPYOKV1B7L7","AD94YUQE36ZOD",0.5
"263","3VNL7UK1XFKZ9OHJ6IZJZHBIN2GFTM","AKSLU0C30G3JT",0.5
"264","3VNL7UK1XFKZ9OHJ6IZJZHBIN2OTF8","A3O5RKGH6VB19C",0.5
"265","3WEV0KO0OMT1W4Q8QCZ31CCB9CMDSW","A2NG40SHWNYGH9",0.5
"266","3WJ1OXY92AHLFD8NS42WUK44C9K8AF","A39I5B2LQDO0FF",0.5
"267","3WQQ9FUS6AVQYNDFYI2SPVOAUR78BC","A1DCKRRPA4AWVD",0.5
"268","3WZ36BJEV3H9W7531GDNGRKX84OTBI","A19V3A2N7GWL77",0.5
"269","3WZ36BJEV3H9W7531GDNGRKX850TBW","A25MAA14V6FLE3",0.5
"270","3WZ36BJEV3H9W7531GDNGRKX85NTBJ","A34XS2K3Q0PG4",0.5
"271","3Y9N9SS8LYCXCN5T0XY2T44ZHVJ3DO","A26ORCT7XKYZ6W",0.5
"272","3YWRV122CS05UMMLY9JNULGYJCCU8D","A2ODZYV6RRJ7NJ",0.5
"273","3Z7EFSHGN9FZNT6TKQAFGEBL3MTCXA","A147VU5FL0JL70",0.5
"274","3Z9WI9EOZZPKK1I27Z9R1B0ZK8MKHB","A2CMX1QYM4XOHE",0.5
"275","3ZPBJO59KP2C6VCSFIN4XY5901RHD1","A3IJCEPXB4G6JU",0.5
"276","3ZPPDN2SLVXOJV89D1AWQZP6HX99EF","AS1KP4SMNONQC",0.5
"277","3ZY8KE4ISJ4BD5BHPTASCY3HRP5VQC","A3GTPW3MYSLMR7",0.5
"278","308Q0PEVB8E0Z0AV9K0NBENY9JBI9E","A3TI6XISG3CKJF",0.5
"279","30BXRYBRP4YBF1CJWDSUPMUU77IHWB","A396KGY6ONZGCS",0.5
